Number,name,species,breed,gender,birth,chipNumber
168,Kitty,dog,Boxer,female,2010-07-08,RN905660Z
169,Buster,cat,Russian Blue,male,2020-03-27,IP465566Z
170,Gizelle,cat,British Shorthair,female,2021-07-13,RP476540Y
171,Quincy,dog,Bullmastiff,female,2017-08-31,VO162599Y
172,Kitty,dog,Great Dane,female,2022-03-27,UP169004W
173,Leo,dog,Newfoundland,male,2016-08-08,RM235658W
174,Bentley,dog,Poodle,male,2014-08-03,ZN775144X
175,Zara,cat,Toyger,female,2016-05-05,DO714451Z
176,Yuki,cat,Nebelung,female,2023-01-29,FM683671W
177,Gizmo,cat,Burmese,male,2014-02-14,UP939376Y
178,Luna,cat,Abyssinian,female,2012-11-25,MM483770Z
179,Milo,cat,Peterbald,male,2018-03-27,EM756511Z
180,Zelda,dog,Maltese,female,2022-12-10,CM727341Z
181,Olaf,cat,Balinese,male,2012-03-03,BO553615Z
182,Smokey,dog,Italian Greyhound,male,2015-07-17,RN824704Z
183,Peaches,cat,Birman,female,2015-08-11,MO284865X
184,Bonnie,cat,Chausie,female,2011-01-09,YO180523Z
185,Shadow,cat,Siamese,male,2019-01-28,TN267949W
186,Chico,cat,Nebelung,male,2013-01-30,PM527907W
187,Gizelle,cat,Siberian,female,2011-07-03,QO982317X
188,Beau,dog,Pug,male,2019-11-16,RP125401Z
189,Gizmo,cat,Ocicat,male,2016-06-17,ON776467Z
190,Teddy,cat,Ocicat,male,2015-01-11,FN519222W
191,Oscar,cat,Himalayan,male,2023-08-21,DO284461Z
192,Isla,cat,Ocicat,female,2013-07-12,QM524530W
193,Sadie,dog,German Shorthaired Pointer,female,2019-08-14,LP970630W
194,Blue,dog,Pomeranian,male,2020-04-24,NO523627Z
195,Louie,dog,Irish Wolfhound,male,2012-02-27,KM474734Y
196,Violet,cat,Pixiebob,female,2011-08-28,BN488608Y
197,Cali,cat,Balinese,female,2013-09-25,GM741486Y
198,Quinn,cat,Sphynx,female,2022-10-02,CN944101Z
199,Ruby,cat,Selkirk Rex,female,2012-01-07,MP450787Z
200,Marley,cat,Toyger,male,2011-12-26,ZP247187X
201,Jinx,dog,Corgi,male,2010-02-16,RP108067X
202,Yasmin,dog,Irish Wolfhound,female,2011-08-12,LM646415X
203,Olive,cat,Havana Brown,female,2017-09-24,SO607447X
204,Stella,dog,Staffordshire Bull Terrier,female,2021-05-11,OM359127Y
205,Isla,cat,Balinese,female,2019-09-09,OO622625Y
206,Sammy,cat,Peterbald,male,2021-12-10,BP257650Y
207,Mickey,dog,Shar Pei,male,2014-03-21,XN703797W
208,Mabel,cat,Toyger,female,2016-08-26,WM813636X
209,Chewy,cat,Ragdoll,male,2020-04-24,CP923470X
210,Loki,dog,Shih Tzu,male,2012-10-11,GO595501X
211,Zara,cat,Russian Blue,female,2012-01-05,ZO868912W
212,Zara,dog,Pomeranian,female,2023-08-23,VP957721W
213,Nala Blue,dog,Italian Greyhound,female,2023-06-03,QO712197Z
214,Thor,dog,Cane Corso,male,2023-09-21,TN593328W
215,Luna,cat,Sparklepaws,female,2013-11-14,QN168784X
216,Dexter,cat,Havana Brown,male,2015-04-23,EO499513Z
217,Raina,cat,Korat,female,2020-06-09,HN249046Y
218,Mango,cat,Munchkin,male,2023-06-08,CN156279Y
219,Jewel,cat,Cornish Rex,female,2014-06-15,VM292899Y
220,Leia,dog,Lhasa Apso,female,2021-11-03,NM242631Y
221,Violet,cat,Cornish Rex,female,2010-06-01,ZP132006W
222,Riley,cat,Turkish Van,male,2015-02-05,FO313327Z
223,Monte,cat,Siamese,male,2015-02-03,TO789176Y
224,Smokey,dog,Irish Wolfhound,male,2014-10-06,YO419982W
225,Poppy,cat,Ocicat,female,2011-04-07,WM406770Y
226,Iris,cat,Scottish Fold,female,2014-08-06,QO480471X
227,Olive,cat,Sphynx,female,2014-09-18,PP461714W
228,Olly,dog,Shiba Inu,male,2017-03-07,EO878769Y
229,George,dog,Border Collie,male,2016-05-02,QM191077W
230,Sassy,dog,Cocker Spaniel,female,2016-10-20,AN985985W
231,Abby,cat,Cymric,female,2012-09-23,FO565775X
232,Jinx,dog,Staffordshire Bull Terrier,male,2016-08-05,LO925379Y
233,Hazel,cat,Colorpoint Shorthair,female,2022-10-24,CN364800X
234,Duke,dog,Corgi,male,2015-09-06,IM591267Y
235,Abby,cat,Chausie,female,2016-03-09,XN428783Z
236,Ollie,dog,Rottweiler,male,2014-12-24,SO638334W
237,Baxter,cat,LaPerm,male,2019-01-17,EO605335Z
238,Lola,cat,Ukrainian Levkoy,female,2011-04-06,KN727152Y
239,Lola,cat,Pixie Muffin,female,2023-07-06,WN277177W
240,Zeus,dog,Pug,male,2013-01-18,DM301397X
241,Eddie,cat,Pixiebob,male,2018-01-01,KP365448Y
242,Dexter,cat,Ragdoll,male,2011-12-07,KM301023W
243,Billy,cat,Cornish Rex,male,2020-09-30,CM588374Z
244,Minnie,dog,Australian Shepherd,female,2012-01-22,DP370366Z
245,Romeo,dog,Bulldog,male,2011-05-26,IP240885Z
246,Remy,dog,French Bulldog,male,2017-09-20,NN913802Y
247,Moose,dog,Cocker Spaniel,male,2015-10-08,EO545801Y
248,Athena,cat,Cornish Rex,female,2010-01-30,VO686362Z
249,Sadie,dog,Golden Retriever,female,2010-01-22,FN161627W
250,Bonnie,dog,Shetland Sheepdog,female,2011-06-27,GN169515Z
251,Simba,dog,Siberian Husky,male,2011-02-05,QO562421W
252,Gigi,dog,Irish Wolfhound,female,2017-11-01,ZO600187Y
253,Eden,dog,Rottweiler,female,2022-12-13,QN906130X
254,George,cat,Bengal,male,2016-11-19,FP994021W
255,Milo,cat,Japanese Bobtail,male,2018-05-20,YM231373Y
256,Boots,cat,Singapura,male,2020-01-08,EO246919X
257,Dolly,cat,Singapura,female,2019-12-03,UP822169X
258,Bentley,dog,Great Dane,male,2011-09-23,XN107100Y
259,Quincy,dog,Shar Pei,female,2021-08-23,EM843595Y
260,Dolly,cat,Japanese Bobtail,female,2021-05-13,JM190473Y
261,Rudy,cat,European Shorthair,male,2023-12-30,SN623437Z
262,Misty Rose,cat,Tonkinese,female,2016-01-03,GM889682X
263,Jack,cat,Turkish Angora,male,2023-07-12,EM773829X
264,Riley,cat,Himalayan,male,2013-03-30,TO493300Y
265,Bubbles,dog,Dachshund,female,2017-11-10,FM106122W
266,Zola,cat,Siberian,female,2021-06-17,WP185520W
267,Angel,cat,Highlander,female,2015-10-16,HO445685X
268,Cody,cat,Ragdoll,male,2011-07-10,QN674380Y
269,Hazel,cat,Egyptian Mau,female,2020-12-07,GO343408Y
270,Marley,dog,Bullmastiff,male,2023-07-03,ZM391430Z
271,Yara,cat,Balinese,female,2019-07-18,BN895597Y
272,Cody,dog,Bullmastiff,male,2014-12-23,MM614529X
273,Jack,dog,Rottweiler,male,2020-10-15,KM878512Y
274,Juno,cat,Snowshoe,female,2013-10-10,QN183804W
275,Tiger,dog,Portuguese Water Dog,male,2012-08-29,ZP210216Z
276,Rocky,dog,Shih Tzu,male,2022-06-06,TP617838X
277,Ruby,dog,Boxer,female,2013-11-15,BM209354Y
278,Nala,dog,Newfoundland,female,2023-05-16,TN248449Z
279,Monte,cat,Sparklepaws,male,2016-12-01,IM878037X
280,Riley,cat,Snowshoe,male,2019-12-15,AN756890W
281,Kitty,dog,Bichon Frise,female,2019-09-18,OO936937Z
282,Elsa,cat,Turkish Van,female,2013-11-19,WP662136Z
283,Isla,dog,Rottweiler,female,2015-02-10,AM654879Z
284,Xyla,dog,Chihuahua,female,2015-08-09,HM695370X
285,Jagger,dog,Rottweiler,male,2019-09-18,MM879278Z
286,Otis,cat,Nebelung,male,2014-03-26,SN993018Z
287,Koda,dog,Borzoi,male,2016-07-24,TP869384W
288,Quincy,dog,German Shorthaired Pointer,female,2021-02-21,WN110640Y
289,Eli,cat,Himalayan,male,2019-03-19,MO814310Y
290,Nina,dog,Chihuahua,female,2012-10-07,SO967815Z
291,Sadie,dog,Siberian Husky,female,2022-08-08,MP562512Y
292,Felix,dog,Borzoi,male,2014-06-15,IO714382Y
293,Quinn,dog,Italian Greyhound,female,2018-09-20,XP301740W
294,Fern,cat,Munchkin,female,2017-06-27,KM743279Z
295,Rocky,dog,Irish Wolfhound,male,2023-11-21,PN798355Y
296,Luna,cat,Oriental Shorthair,female,2010-03-26,IO269826X
297,Josie,dog,Samoyed,female,2017-09-11,IM467297X
298,Koda,dog,Bichon Frise,male,2013-06-05,JN796331Y
299,Gizmo,dog,Shih Tzu,male,2013-08-21,EO806477W
300,Rusty,cat,LaPerm,male,2014-05-08,SM336515Y
301,Brutus,cat,Cornish Rex,male,2016-10-22,SN511839Z
302,Murphy,cat,Maine Coon,male,2013-03-09,NM646650X
303,Tiger,dog,Australian Shepherd,male,2014-05-07,WP711884Y
304,Prince,dog,Bernese Mountain Dog,male,2010-03-15,TP428359X
305,Coco,cat,Cornish Rex,male,2023-11-01,WP461826X
306,Layla,cat,Toyger,female,2015-07-29,YP528381W
307,Rusty,dog,Pug,male,2012-01-09,TN749938Y
308,Ginger,cat,Munchkin,female,2018-03-13,AO695007Z
309,Fern,cat,Peterbald,female,2022-06-12,SM799764W
310,Zeus,dog,Rhodesian Ridgeback,male,2011-03-01,ZP957585Z
311,Max,dog,Labrador Retriever,male,2018-09-10,XO689281Y
312,Abby,dog,Maltese,female,2013-01-12,AN533624Y
313,Tessa,cat,Korat,female,2015-09-23,JM577136Z
314,Monty,cat,Bambino,male,2018-03-19,IP547489X
315,Rosie,cat,Scottish Fold,female,2014-07-24,RN849871Z
316,Mickey,dog,Great Dane,male,2011-05-19,KM364312X
317,Beau,cat,Siberian,male,2013-04-20,WP355825W
318,Hunter,dog,Shetland Sheepdog,male,2018-06-07,NO880645W
319,Coco,cat,Bambino,male,2016-05-05,AP998345Y
320,Winston,cat,Fluffybutt,male,2013-05-10,BO337301X
321,Winston,cat,Sphynx,male,2023-02-19,ZN161239W
322,Emma,cat,Selkirk Rex,female,2012-10-03,AO225341Z
323,Teddy,cat,Peterbald,male,2023-01-27,ZN170000Z
324,Harley,cat,Pixie Muffin,female,2012-04-21,CO244800Z
325,Xena,dog,Akita,female,2023-01-07,NN565117X
326,Jasper,dog,Cocker Spaniel,male,2020-04-24,GP239575Z
327,Jack,cat,Siberian,male,2018-03-01,DM889585X
328,Coco,cat,Abyssinian,male,2023-02-22,LP895286Y
329,Coco,cat,Exotic Shorthair,male,2017-09-17,MN689665W
330,Nala Blue,cat,Scottish Fold,female,2015-11-01,MP704048X
331,Koda,dog,Pomeranian,male,2021-04-29,GN512013Y
332,Mia,cat,Korat,female,2021-02-19,SP111055Z
333,Bonnie,cat,Tonkinese,female,2019-01-11,IO693831X
334,Mickey,cat,Bengal,male,2020-09-17,RO404725W
335,Buddy,cat,Bengal,male,2013-06-15,RM776817W
336,Hazel,dog,Maltese,female,2023-09-23,FP484601W
337,Chloe,cat,Russian Blue,female,2021-04-07,LP585590W
338,Holly,cat,Singapura,female,2018-02-03,PP258444Z
339,Louie,dog,Great Dane,male,2018-09-03,QM373420X
340,Jasper,dog,French Bulldog,male,2017-08-09,NN191992Z
341,Raina,cat,Ukrainian Levkoy,female,2014-05-13,VN851276Z
342,Jack,dog,Corgi,male,2019-04-08,KP729590X
343,Lou,dog,Collie,male,2017-05-06,IP404943Y
344,Oliver,cat,Burmese,male,2023-11-15,TP234109Z
345,Dexter,cat,Korat,male,2012-02-17,UN246843X
346,Nina,dog,English Mastiff,female,2012-06-24,CP276572W
347,Rufus,dog,Cane Corso,male,2020-10-28,MN276243X
348,Jinx,cat,Bambino,male,2022-01-24,WM935759W
349,Max,cat,Nebelung,male,2018-12-17,SO441752Z
350,Zoe,dog,Italian Greyhound,female,2010-09-04,TM632507X
351,Jack,cat,Chausie,male,2021-09-10,FN114060W
352,Jasper,cat,Cymric,male,2011-03-05,OM228919X
353,Buddy,cat,Pixie Muffin,male,2017-04-13,OM980683Y
354,Cleo,cat,Toyger,female,2021-01-16,VN222355W
355,Foxy,dog,Poodle,female,2016-06-25,MN439755X
356,Oscar,dog,Shetland Sheepdog,male,2021-06-02,WN682316Y
357,Layla,dog,Basset Hound,female,2014-04-18,MP908662X
358,Jewel,cat,Singapura,female,2018-03-09,QP909984X
359,Sasha,cat,British Shorthair,female,2022-01-29,FO207733Z
360,Zelda,cat,Korat,female,2022-10-02,FN988623W
361,Buddy,dog,Newfoundland,male,2023-10-06,GM342267Y
362,Marley,dog,Lhasa Apso,male,2018-08-29,JN515899Z
363,Winnie,cat,Singapura,female,2011-10-08,VO551589W
364,Marley,cat,Fluffybutt,male,2017-01-12,XO652512W
365,Layla,cat,Scottish Fold,female,2020-12-01,UM847677Z
366,Shadow,dog,Keeshond,male,2019-07-18,MP484224Y
367,Sadie,cat,Werewolf,female,2023-05-20,TM379363X
368,Zoe,cat,Siberian,female,2013-04-28,ON146949X
369,Holly,dog,Portuguese Water Dog,female,2017-08-26,WN786655Z
370,Ursula,cat,Sparklepaws,female,2011-07-29,VP524540X
371,Xara,dog,Staffordshire Bull Terrier,female,2016-10-30,IP781248Y
372,Ziggy,cat,Devon Rex,female,2016-01-06,DN818722W
373,Quincy,dog,Shetland Sheepdog,female,2022-07-13,HN517529W
374,Xara,cat,Pixiebob,female,2021-02-24,HP360768Z
375,Tinkerbell,cat,Siberian,female,2020-11-08,LM608661Y
376,Holly,dog,Samoyed,female,2011-08-12,FN797557Y
377,Milo,cat,Highlander,male,2018-09-30,NN441826W
378,Coco,cat,Chartreux,male,2016-04-07,OM721027X
379,Murray,cat,Toyger,male,2022-07-14,RP924106W
380,Mickey,dog,Cavalier King Charles Spaniel,male,2018-09-23,BP134353W
381,Zoe,cat,Chausie,female,2022-09-02,FP958295X
382,Athena,cat,Cymric,female,2018-03-01,VO223109W
383,Raina,dog,Cocker Spaniel,female,2012-07-12,PM274173Y
384,Dexter,dog,German Shorthaired Pointer,male,2010-10-31,XM384359Y
385,Vera,dog,Bullmastiff,female,2014-02-12,BM872583Z
386,Ollie,dog,Basset Hound,male,2019-09-07,QM105803W
387,Whisper,dog,Bulldog,female,2014-09-18,YP547327Z
388,Mochi,dog,Bichon Frise,male,2013-01-21,WM435923Y
389,Jewel,dog,Golden Retriever,female,2014-01-09,PP952891Z
390,Zeke,dog,Boxer,male,2011-07-23,SP557324W
391,Bubbles,cat,Balinese,female,2015-02-13,HM413800Y
392,Oliver,dog,Shar Pei,male,2019-07-28,SM766517W
393,Fiona,dog,Borzoi,female,2016-09-19,YO877475X
394,Monty,cat,Pixie Muffin,male,2012-11-07,JO345435X
395,Emma,dog,Borzoi,female,2017-02-23,DO723221Y
396,Lola Mae,dog,Italian Greyhound,female,2010-10-14,DM214622Y
397,Jack,dog,Pug,male,2017-03-17,PO106552Y
398,Rusty,dog,Staffordshire Bull Terrier,male,2014-06-30,LP414932X
399,Rudy,dog,Chow Chow,male,2012-10-24,NO998033W
400,Winston,dog,Saint Bernard,male,2017-04-19,LM216967Y
401,Gizmo,dog,Saint Bernard,male,2021-03-18,RN598854Y
402,Peaches Marie,dog,German Shepherd,female,2017-02-09,EP447211Z
403,Buddy,dog,German Shorthaired Pointer,male,2014-01-16,NM323414Z
404,Coco,cat,Ukrainian Levkoy,female,2019-05-09,UM192477X
405,Shadow,dog,Pomeranian,male,2015-12-28,MN995663W
406,Ollie,dog,Dalmatian,male,2017-08-01,JM576103Y
407,Maggie,cat,Sokoke,female,2011-10-22,VM812066Y
408,Hunter,dog,Chihuahua,male,2013-02-27,MP850277X
409,Whisper,cat,American Shorthair,female,2011-02-27,SP447462Y
410,Angel,cat,Bengal,female,2011-10-03,VP619928Y
411,Sammy,cat,Ukrainian Levkoy,male,2021-12-22,GP554417X
412,Mabel,dog,Great Dane,female,2020-02-12,YP339838Y
413,Dexter,cat,Bambino,male,2010-07-06,LO452087Y
414,Shadow,dog,Maltese,male,2010-10-15,JN852186Y
415,Ginger,cat,Japanese Bobtail,female,2017-10-18,XO414883Z
416,Zara,dog,English Mastiff,female,2011-11-24,UP409865X
417,Mickey,dog,Siberian Husky,male,2015-07-10,LN703955Y
418,Finn,dog,Border Collie,male,2012-11-10,EN648793W
419,Baxter,dog,Shetland Sheepdog,male,2012-10-18,JP359032X
420,Moose,dog,German Shepherd,male,2014-05-19,IM708967W
421,Josie,dog,Samoyed,female,2011-10-19,AM920725Z
422,Teddy,dog,Basset Hound,male,2019-11-04,JO601852W
423,Mocha,dog,Siberian Husky,female,2014-01-11,ON515827W
424,Oscar,dog,Bulldog,male,2019-10-09,WN520306X
425,Mabel,dog,Shiba Inu,female,2021-03-28,BO208975W
426,Hugo,dog,Saint Bernard,male,2023-05-22,YM643000X
427,Oliver,cat,Werewolf,male,2010-01-23,HM406152X
428,Coco,cat,Pixiebob,male,2011-02-01,TP226087W
429,Winston,cat,British Shorthair,male,2020-11-18,RP319870W
430,Lola Mae,dog,Lhasa Apso,female,2021-03-03,QM330005W
